id,kanji,type,yomi,word,highlight,ex1,ex1_yomi,ex2,ex2_yomi
悪-訓,悪,訓,わる,悪い,悪,悪いことをする。,わる,ぎょうぎが悪い。,わる
安-訓,安,訓,やす,安い,安,安いやさい。,やす,ねだんが安い。,やす
安-音,安,音,あん,安心,安,安心する。,あん,安ぜんにあそぶ。,あん
暗-訓,暗,訓,くら,暗い,暗,へやが暗い。,くら,暗いみち。,くら
医-音,医,音,い,医者,医,医者にみてもらう。,い,医院へいく。,い
委-音,委,音,い,委員,委,委員をきめる。,い,学きゅう委員。,い
意-音,意,音,い,意味,意,ことばの意味。,い,意けんをいう。,い
育-訓,育,訓,そだ,育てる,育,はなを育てる。,そだ,大切に育てる。,そだ
育-音,育,音,いく,体育,育,体育のじかん。,いく,育じをする。,いく
員-音,員,音,いん,店員,員,店員さん。,いん,かい社員。,いん
院-音,院,音,いん,病院,院,病院へいく。,いん,びよう院。,いん
飲-訓,飲,訓,の,飲む,飲,水を飲む。,の,お茶を飲む。,の
運-訓,運,訓,はこ,運ぶ,運,にもつを運ぶ。,はこ,つくえを運ぶ。,はこ
運-音,運,音,うん,運動,運,運動をする。,うん,運てんする。,うん
泳-訓,泳,訓,およ,泳ぐ,泳,うみで泳ぐ。,およ,はやく泳ぐ。,およ
泳-音,泳,音,えい,水泳,泳,水泳をならう。,えい,水泳が好き。,えい
駅-音,駅,音,えき,駅,駅,駅でまつ。,えき,駅まであるく。,えき
央-音,央,音,おう,中央,央,中央にたつ。,おう,中央のせき。,おう
横-訓,横,訓,よこ,横,横,横にならぶ。,よこ,横をむく。,よこ
屋-訓,屋,訓,や,本屋,屋,本屋へいく。,や,やお屋さん。,や
温-訓,温,訓,あたた,温かい,温,温かいスープ。,あたた,手が温かい。,あたた
温-音,温,音,おん,温度,温,温度をはかる。,おん,体温をはかる。,おん
化-訓,化,訓,ば,化ける,化,きつねが化ける。,ば,おばけに化ける。,ば
化-音,化,音,か,変化,化,色が変化する。,か,化がくのじっけん。,か
荷-訓,荷,訓,に,荷もつ,荷,荷もつをはこぶ。,に,おもい荷。,に
界-音,界,音,かい,世界,界,世界の国。,かい,し然界のいきもの。,かい
開-訓,開,訓,ひら,開く,開,とびらが開く。,ひら,ドアを開く。,ひら
階-音,階,音,かい,階だん,階,階だんをのぼる。,かい,三階のへや。,かい
寒-訓,寒,訓,さむ,寒い,寒,冬は寒い。,さむ,寒いあさ。,さむ
感-音,感,音,かん,感そう,感,感そうをかく。,かん,いい感じ。,かん
漢-音,漢,音,かん,漢字,漢,漢字をならう。,かん,漢字のテスト。,かん
館-音,館,音,かん,図書館,館,図書館で本をかりる。,かん,はく物館。,かん
岸-訓,岸,訓,きし,岸,岸,川の岸。,きし,岸にあがる。,きし
起-訓,起,訓,お,起きる,起,あさ早く起きる。,お,七時に起きる。,お
期-音,期,音,き,学期,期,二学期がはじまる。,き,期まつテスト。,き
客-音,客,音,きゃく,お客,客,お客さんがくる。,きゃく,客せきにすわる。,きゃく
究-音,究,音,きゅう,研究,究,虫を研究する。,きゅう,研究はっぴょう。,きゅう
急-訓,急,訓,いそ,急ぐ,急,いえに急ぐ。,いそ,急いでいく。,いそ
急-音,急,音,きゅう,急行,急,急行にのる。,きゅう,急にとまる。,きゅう
級-音,級,音,きゅう,学級,級,学級かい。,きゅう,一級をとる。,きゅう
宮-訓,宮,訓,みや,お宮,宮,お宮にまいる。,みや,宮にすむ。,みや
